,node,srr,year,sero
0,SRR10156140_bin_1,SRR10156140,2019,Schwarzengrund
1,SRR10156140_bin_2,SRR10156140,2019,Schwarzengrund
2,SRR10156140_bin_3,SRR10156140,2019,Schwarzengrund
3,SRR10156143_bin_1,SRR10156143,2019,Typhimurium(O5-)*
4,SRR10156143_bin_2,SRR10156143,2019,Typhimurium(O5-)*
5,SRR10164108_bin_1,SRR10164108,2019,Alachua or IIIa 35
6,SRR10164566_bin_1,SRR10164566,2019,Schwarzengrund
7,SRR10164566_bin_2,SRR10164566,2019,Schwarzengrund
8,SRR10164566_bin_3,SRR10164566,2019,Schwarzengrund
9,SRR10164566_bin_4,SRR10164566,2019,Schwarzengrund
10,SRR10165168_bin_1,SRR10165168,2019,Adelaide
11,SRR10165168_bin_2,SRR10165168,2019,Adelaide
12,SRR10165168_bin_3,SRR10165168,2019,Adelaide
13,SRR10198978_bin_1,SRR10198978,2019,Anatum
14,SRR10198978_bin_2,SRR10198978,2019,Anatum
15,SRR10198978_bin_3,SRR10198978,2019,Anatum
16,SRR10198978_bin_4,SRR10198978,2019,Anatum
17,SRR10210128_bin_1,SRR10210128,2019,Anatum
18,SRR10210128_bin_2,SRR10210128,2019,Anatum
19,SRR10210128_bin_3,SRR10210128,2019,Anatum
20,SRR10210128_bin_4,SRR10210128,2019,Anatum
21,SRR10357717_bin_1,SRR10357717,1999,Bredeney
22,SRR10357717_bin_2,SRR10357717,1999,Bredeney
23,SRR10357732_bin_1,SRR10357732,1999,Bredeney
24,SRR10357732_bin_2,SRR10357732,1999,Bredeney
25,SRR10357732_bin_3,SRR10357732,1999,Bredeney
26,SRR10357732_bin_4,SRR10357732,1999,Bredeney
27,SRR10574680_bin_1,SRR10574680,2019,Cannstatt
28,SRR10582745_bin_1,SRR10582745,2019,Anatum
29,SRR10582745_bin_2,SRR10582745,2019,Anatum
30,SRR10582745_bin_3,SRR10582745,2019,Anatum
31,SRR10582745_bin_4,SRR10582745,2019,Anatum
32,SRR10582748_bin_1,SRR10582748,2019,Eastbourne
33,SRR10582748_bin_2,SRR10582748,2019,Eastbourne
34,SRR10612313_bin_1,SRR10612313,2019,Johannesburg
35,SRR10612313_bin_2,SRR10612313,2019,Johannesburg
36,SRR10669555_bin_1,SRR10669555,2019,Agona
37,SRR10669555_bin_2,SRR10669555,2019,Agona
38,SRR10669555_bin_3,SRR10669555,2019,Agona
39,SRR10669573_bin_1,SRR10669573,2019,Schwarzengrund
40,SRR10669573_bin_2,SRR10669573,2019,Schwarzengrund
41,SRR10669573_bin_3,SRR10669573,2019,Schwarzengrund
42,SRR10673623_bin_1,SRR10673623,2019,Worthington
43,SRR10673623_bin_2,SRR10673623,2019,Worthington
44,SRR10775384_bin_1,SRR10775384,2019,Adelaide
45,SRR10775384_bin_2,SRR10775384,2019,Adelaide
46,SRR10775384_bin_3,SRR10775384,2019,Adelaide
47,SRR10775384_bin_4,SRR10775384,2019,Adelaide
48,SRR10775384_bin_5,SRR10775384,2019,Adelaide
49,SRR10775384_bin_6,SRR10775384,2019,Adelaide
50,SRR10775384_bin_7,SRR10775384,2019,Adelaide
51,SRR11008932_bin_1,SRR11008932,2020,Anatum
52,SRR11008932_bin_2,SRR11008932,2020,Anatum
53,SRR11008932_bin_3,SRR11008932,2020,Anatum
54,SRR11008944_bin_1,SRR11008944,2020,Anatum
55,SRR11008944_bin_2,SRR11008944,2020,Anatum
56,SRR11008944_bin_3,SRR11008944,2020,Anatum
57,SRR11278081_bin_1,SRR11278081,2020,
58,SRR11278081_bin_2,SRR11278081,2020,
59,SRR11317761_bin_1,SRR11317761,2020,
60,SRR11317761_bin_2,SRR11317761,2020,
61,SRR11317761_bin_3,SRR11317761,2020,
62,SRR11396126_bin_1,SRR11396126,2020,Johannesburg
63,SRR11396126_bin_2,SRR11396126,2020,Johannesburg
64,SRR11396126_bin_3,SRR11396126,2020,Johannesburg
65,SRR11396126_bin_4,SRR11396126,2020,Johannesburg
66,SRR11396126_bin_5,SRR11396126,2020,Johannesburg
67,SRR11396126_bin_6,SRR11396126,2020,Johannesburg
68,SRR11396126_bin_7,SRR11396126,2020,Johannesburg
69,SRR11396126_bin_8,SRR11396126,2020,Johannesburg
70,SRR11396131_bin_1,SRR11396131,2020,Berta
71,SRR11396152_bin_1,SRR11396152,2020,Anatum
72,SRR11396152_bin_2,SRR11396152,2020,Anatum
73,SRR11396152_bin_3,SRR11396152,2020,Anatum
74,SRR11396152_bin_4,SRR11396152,2020,Anatum
75,SRR11457375_bin_1,SRR11457375,2004,Senftenberg or Dessau*
76,SRR11457375_bin_2,SRR11457375,2004,Senftenberg or Dessau*
77,SRR11457375_bin_3,SRR11457375,2004,Senftenberg or Dessau*
78,SRR11457375_bin_4,SRR11457375,2004,Senftenberg or Dessau*
79,SRR11457377_bin_1,SRR11457377,2004,Paratyphi C or Choleraesuis or Typhisuis*
80,SRR11457377_bin_2,SRR11457377,2004,Paratyphi C or Choleraesuis or Typhisuis*
81,SRR11457377_bin_3,SRR11457377,2004,Paratyphi C or Choleraesuis or Typhisuis*
82,SRR11457379_bin_1,SRR11457379,2004,Paratyphi C or Choleraesuis or Typhisuis*
83,SRR11457379_bin_2,SRR11457379,2004,Paratyphi C or Choleraesuis or Typhisuis*
84,SRR11457379_bin_3,SRR11457379,2004,Paratyphi C or Choleraesuis or Typhisuis*
85,SRR11457380_bin_1,SRR11457380, ,Anatum
86,SRR11457381_bin_1,SRR11457381,2004,
87,SRR11457381_bin_2,SRR11457381,2004,
88,SRR11457381_bin_3,SRR11457381,2004,
89,SRR11457381_bin_4,SRR11457381,2004,
90,SRR11457381_bin_5,SRR11457381,2004,
91,SRR11457382_bin_1,SRR11457382,2004,Agona
92,SRR11457382_bin_2,SRR11457382,2004,Agona
93,SRR11457382_bin_3,SRR11457382,2004,Agona
94,SRR11457383_bin_1,SRR11457383,2004,
95,SRR11457383_bin_2,SRR11457383,2004,
96,SRR11457383_bin_3,SRR11457383,2004,
97,SRR11457384_bin_1,SRR11457384,2004,Paratyphi C or Choleraesuis or Typhisuis*
98,SRR11457384_bin_2,SRR11457384,2004,Paratyphi C or Choleraesuis or Typhisuis*
99,SRR11457384_bin_3,SRR11457384,2004,Paratyphi C or Choleraesuis or Typhisuis*
100,SRR11457389_bin_1,SRR11457389,2002,
101,SRR11457389_bin_2,SRR11457389,2002,
102,SRR11457400_bin_1,SRR11457400,2002,Virginia or Muenchen*
103,SRR11457408_bin_1,SRR11457408,2002,Derby
104,SRR11457408_bin_2,SRR11457408,2002,Derby
105,SRR11457423_bin_1,SRR11457423,2004,
106,SRR11457423_bin_2,SRR11457423,2004,
107,SRR11457423_bin_3,SRR11457423,2004,
108,SRR11457423_bin_4,SRR11457423,2004,
109,SRR11457423_bin_5,SRR11457423,2004,
110,SRR11457424_bin_1,SRR11457424,2004,
111,SRR11457424_bin_2,SRR11457424,2004,
112,SRR11457424_bin_3,SRR11457424,2004,
113,SRR11457424_bin_4,SRR11457424,2004,
114,SRR11457425_bin_1,SRR11457425,2004,
115,SRR11457425_bin_2,SRR11457425,2004,
116,SRR11457425_bin_3,SRR11457425,2004,
117,SRR11457425_bin_4,SRR11457425,2004,
118,SRR11457425_bin_5,SRR11457425,2004,
119,SRR11457427_bin_1,SRR11457427,2004,
120,SRR11457427_bin_2,SRR11457427,2004,
121,SRR11457427_bin_3,SRR11457427,2004,
122,SRR11457427_bin_4,SRR11457427,2004,
123,SRR11457428_bin_1,SRR11457428,2004,
124,SRR11457428_bin_2,SRR11457428,2004,
125,SRR11457428_bin_3,SRR11457428,2004,
126,SRR11457429_bin_1,SRR11457429,2004,
127,SRR11457429_bin_2,SRR11457429,2004,
128,SRR11457429_bin_3,SRR11457429,2004,
129,SRR11457429_bin_4,SRR11457429,2004,
130,SRR11457430_bin_1,SRR11457430, ,Havana
131,SRR11457430_bin_2,SRR11457430, ,Havana
132,SRR11457430_bin_3,SRR11457430, ,Havana
133,SRR11457432_bin_1,SRR11457432,2004,
134,SRR11457432_bin_2,SRR11457432,2004,
135,SRR11457432_bin_3,SRR11457432,2004,
136,SRR11457433_bin_1,SRR11457433,2004,
137,SRR11457433_bin_2,SRR11457433,2004,
138,SRR11457433_bin_3,SRR11457433,2004,
